1,Descripción del Curso,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/0,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/1,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/2,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/3,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/4,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/5,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/6,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/7,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/8,Total de Estudiantes Matriculados/ATI - AREA DE ADMINISTRACION DE TECNOLOGIA DE INFORMACIÓN/9
94,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
95,SE1107 - APRECIACION DE CINE,1,,,,,,,,,
95,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
95,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
95,TI8904 - ADMINISTRACION DE PROCESOS DE NEGOCIOS,1,,,,,,,,,
95,TI8905 - ADMINISTRACION DE SERVICIOS DE TECNOLOGIAS DE INFORMACION I,1,,,,,,,,,
96,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
96,TI9000 - TRABAJO FINAL DE GRADUACION,1,,,,,,,,,
97,TI3404 - LENGUAJES DE PROGRAMACION,,,1,,,,,,,
98,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
98,TI4500 - INGENIERIA DE REQUERIMIENTOS,1,,,,,,,,,
98,TI5300 - COMPORTAMIENTO ORGANIZACIONAL Y GESTION DE CAMBIOS,1,,,,,,,,,
98,TI5501 - DISEÑO DE SOFTWARE,,1,,,,,,,,
98,TI6900 - INTELIGENCIA DE NEGOCIOS,1,,,,,,,,,
98,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
99,CI1403 - COMUNICACION TECNICA,1,,,,,,,,,
99,MA1403 - MATEMATICA DISCRETA,1,,,,,,,,,
99,TI2102 - INFORMACION CONTABLE II,1,,,,,,,,,
99,TI2800 - ADMINISTRACION DE PROYECTOS I,1,,,,,,,,,
99,TI3103 - COSTOS EN AMBIENTES INFORMATICOS,1,,,,,,,,,
99,TI4101 - PLANIFICACION Y PRESUPUESTO,1,,,,,,,,,
99,TI4200 - ECONOMIA,1,,,,,,,,,
99,TI5100 - GESTION Y TOMA DE DECISIONES FINANCIERAS,1,,,,,,,,,
99,TI5300 - COMPORTAMIENTO ORGANIZACIONAL Y GESTION DE CAMBIOS,1,,,,,,,,,
99,TI6000 - ELECTIVA 2,1,,,,,,,,,
99,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
99,TI7102 - GESTION DE RECURSOS HUMANOS,1,,,,,,,,,
99,TI9005 - ESPIRITU EMPRENDEDOR Y CREACION DE EMPRESAS,1,,,,,,,,,
100,CI3400 - INGLES 1  (ATI),1,,,,,,,,,
100,MA2405 - ALGEBRA LINEAL PARA COMPUTACION,1,,,,,,,,,
100,TI5501 - DISEÑO DE SOFTWARE,,,1,,,,,,,
100,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
100,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
101,CI3400 - INGLES 1  (ATI),,1,,,,,,,,
101,CS4402 - SEMINARIO DE ESTUDIOS COSTARRICENSES,1,,,,,,,,,
101,MA1404 - CALCULO,1,,,,,,,,,
101,SE1102 - ACCION SOCIAL,,1,,,,,,,,
101,TI8509 - HABILIDADES DIRECTIVAS PARA EL ADMINISTRADOR DE TECNOLOGIA DE LA INFORMACION,1,,,,,,,,,
102,TI5501 - DISEÑO DE SOFTWARE,,1,,,,,,,,
102,TI8902 - ADQUISICION DE TI,1,,,,,,,,,
102,TI9003 - COMPUTACION Y SOCIEDAD,1,,,,,,,,,
102,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
103,MA2404 - PROBABILIDADES,,1,,,,,,,,
103,TI5501 - DISEÑO DE SOFTWARE,,,1,,,,,,,
103,TI9805 - AUDITORIA DE TI,1,,,,,,,,,
104,TI6101 - MERCADEO DE PRODUCTOS DE ALTA TECNOLOGIA,1,,,,,,,,,
104,"TI6108 - PRODUCCION, LOGISTICA Y CALIDAD",1,,,,,,,,,
104,TI6502 - ESPECIFICACION DE SOFTWARE,1,,,,,,,,,
104,TI8109 - FORMULACION Y EVALUACION DE PROYECTOS DE TI,1,,,,,,,,,
